var,cat,group,arr,auto
AF_AccLatInflowratio,AF,Agroforestry System (Plot Geometry & Layout),zone_df,
AF_Circ_is,AF,Agroforestry System (Plot Geometry & Layout),,
AF_Depth,AF,Agroforestry System (Plot Geometry & Layout),zonelayer_df,
AF_DepthAct,AF,Agroforestry System (Plot Geometry & Layout),zone_df,
AF_DepthAvg,AF,Agroforestry System (Plot Geometry & Layout),layer_df,
AF_DepthLay,AF,Agroforestry System (Plot Geometry & Layout),layer_df,
AF_Depths,AF,Agroforestry System (Plot Geometry & Layout),layer_df,
AF_DepthSlope,AF,Agroforestry System (Plot Geometry & Layout),zone_df,
AF_HGW,AF,Agroforestry System (Plot Geometry & Layout),zonelayer_df,
AF_LatInFlowRatio,AF,Agroforestry System (Plot Geometry & Layout),zone_df,
AF_RelZoneTreeLeft,AF,Agroforestry System (Plot Geometry & Layout),zonetree_df,
AF_RelZoneTreeNextLeft,AF,Agroforestry System (Plot Geometry & Layout),zonetree_df,
AF_RelZoneTreeNextRight,AF,Agroforestry System (Plot Geometry & Layout),zonetree_df,
AF_RelZoneTreeRight,AF,Agroforestry System (Plot Geometry & Layout),zonetree_df,
AF_SlopeCurr,AF,Agroforestry System (Plot Geometry & Layout),zone_df,
AF_TreePosit,AF,Agroforestry System (Plot Geometry & Layout),tree_df,
AF_TreePositQ,AF,Agroforestry System (Plot Geometry & Layout),layertree_df,
AF_Zone,AF,Agroforestry System (Plot Geometry & Layout),zone_df,
AF_ZoneFrac,AF,Agroforestry System (Plot Geometry & Layout),zone_df,
AF_ZoneFracC,AF,Agroforestry System (Plot Geometry & Layout),zone_df,
AF_ZoneFracF,AF,Agroforestry System (Plot Geometry & Layout),zone_df,
AF_ZoneTot,AF,Agroforestry System (Plot Geometry & Layout),,
AF_ZoneTreeLeftRight,AF,Agroforestry System (Plot Geometry & Layout),zonetree_df,
AF_ZoneWidth,AF,Agroforestry System (Plot Geometry & Layout),zone_df,
BC_C,BC,Carbon Balance,,
BC_CdailyRespforFix,BC,Carbon Balance,,
BC_ChangStock,BC,Carbon Balance,,
BC_CO2fromBurn,BC,Carbon Balance,,
BC_CPhotoInc,BC,Carbon Balance,,
BC_CPhotosynth,BC,Carbon Balance,,
BC_Crop,BC,Carbon Balance,,
BC_CropInit,BC,Carbon Balance,,
BC_CstockChange,BC,Carbon Balance,,
BC_CstocksInit,BC,Carbon Balance,,
BC_CurrentCStock,BC,Carbon Balance,,
BC_DiffFlows,BC,Carbon Balance,,
BC_DWDeadWood,BC,Carbon Balance,pcomp_df,
BC_DWFineNecroM,BC,Carbon Balance,pcomp_df,
